,Education,NumSkills,WorkExperience,Seniority,Specialty,Workerness
532,None/Other,0,"['Senior', 'Junior', 'Junior', 'Worker', 'Specialist']","[0.2312521723421519, 0.23371620054573064, 0.20690409970346543, 0.18644122698110602, 0.2142009122196781]","[0.2070286316315112, 0.22530044086582332, 0.18863599587390953, 0.1718164380226594, 0.2275465827468575]","[0.18893403692149346, 0.19669030668241613, 0.19023622441597535, 0.19382595217187482, 0.20921070601286024]"
533,HighSchool,1,['Specialist'],[0.22103250955271905],[0.23818669319874236],[0.2225338385325845]
534,Masters,2,"['Worker', 'Worker', 'Worker', 'Worker', 'Senior']","[0.20655716763142476, 0.20467417457947046, 0.15999534282630007, 0.20545494262188946, 0.0]","[0.18858400917191528, 0.1985309253084916, 0.16665650586936104, 0.21395831377739055, 0.0]","[0.21684337129834425, 0.22339365421419868, 0.1677329668696586, 0.23553638177009173, 0.0]"
535,Masters,5,"['Senior', 'Worker', 'Senior', 'Specialist']","[0.23928101022335277, 0.2275732366992038, 0.2223620607323719, 0.22298094888578646]","[0.21443793610481182, 0.22775005772797108, 0.2082692603423446, 0.23538486841523784]","[0.17861178917723405, 0.22929412914086636, 0.19675560662230895, 0.205775118286868]"
536,Certificate,11,"['Senior', 'Senior', 'Junior', 'Specialist', 'Junior', 'Senior', 'Senior', 'Worker']","[0.2216516961019916, 0.1871439342824106, 0.21203431292341293, 0.22324603780738494, 0.22136221963866942, 0.22711414155001167, 0.20864744365106472, 0.21060757389383583]","[0.20880930431515524, 0.18127749190857903, 0.1982902364971918, 0.22523029474657805, 0.20825879435959094, 0.2056798371341075, 0.19654086267503296, 0.21529315487850165]","[0.1893317230107808, 0.18217781621015805, 0.17882095400111064, 0.19730042656266975, 0.20413065544694797, 0.1807869405959655, 0.20138222803830477, 0.22297354890132023]"
537,Bachelors,4,"['Specialist', 'Specialist', 'Specialist', 'Specialist']","[0.20035649564260896, 0.20035649564260896, 0.21847749691216944, 0.22103250955271905]","[0.2323026928536771, 0.2323026928536771, 0.2409070355067272, 0.23818669319874236]","[0.21180493689686514, 0.21180493689686514, 0.22482352083360307, 0.2225338385325845]"
538,Certificate,2,"['Senior', 'Specialist', 'Senior']","[0.20395291832234902, 0.20520922644629916, 0.22345294014725325]","[0.1749684681221243, 0.20638747772283078, 0.21908367203406962]","[0.17862452134249235, 0.19868864924696233, 0.2110932708106229]"
539,Certificate,0,"['Senior', 'Senior']","[0.19362894963013996, 0.23390163304763475]","[0.17165792746429298, 0.23051840044491081]","[0.17892087641594318, 0.20132925689210115]"
540,Bachelors,1,"['Senior', 'Senior', 'Senior']","[0.22283763323248837, 0.25241050066465226, 0.20949962163332847]","[0.18439345576837748, 0.2141372355991387, 0.2081648276317675]","[0.16840942974189255, 0.19467501987780728, 0.20276151988052132]"
541,Bachelors,1,"['Senior', 'Worker', 'Specialist', 'Senior', 'Senior', 'Senior']","[0.19756517282996244, 0.20674255738441086, 0.21708781768574584, 0.22345294014725325, 0.22345294014725325, 0.23363175127870883]","[0.17983642704516295, 0.22067488034560717, 0.2213693269710069, 0.21908367203406962, 0.21908367203406962, 0.21359582876290548]","[0.18651998070302794, 0.24090267188809694, 0.19782553381052073, 0.2110932708106229, 0.2110932708106229, 0.20053965317021788]"
542,Certificate,0,"['Specialist', 'Senior', 'Specialist', 'Senior', 'Senior']","[0.20725658512787518, 0.22345294014725325, 0.22322768897155626, 0.23363175127870883, 0.2368179840925488]","[0.24435848560693904, 0.21908367203406962, 0.2242373504856666, 0.21359582876290548, 0.22325879042826607]","[0.20797428109959118, 0.2110932708106229, 0.2231060446626152, 0.20053965317021788, 0.20171293967357493]"
543,Masters,3,"['Junior', 'Junior', 'Senior', 'Senior', 'Worker', 'Specialist', 'Senior', 'Specialist']","[0.21898003445405573, 0.2400055415481881, 0.19763500547565724, 0.23928101022335277, 0.1884332500817452, 0.23543826497367956, 0.22731036730395032, 0.22103250955271905]","[0.2087853201450642, 0.24124845063556594, 0.17505123058980113, 0.21443793610481182, 0.17409387419439068, 0.23643916496667453, 0.21836823666453198, 0.23818669319874236]","[0.2025056070059574, 0.19153194992651254, 0.17602335404885489, 0.17861178917723405, 0.19045678832072943, 0.20605225510481148, 0.18453812602029135, 0.2225338385325845]"
544,Masters,5,"['Senior', 'Senior', 'Senior']","[0.21132840081652213, 0.0, 0.21688396976209945]","[0.1935608352584908, 0.0, 0.21066732256842105]","[0.20024496982524626, 0.0, 0.20564592031613627]"
545,Bachelors,0,"['Junior', 'Specialist', 'Specialist']","[0.2225809359454553, 0.17352417651806468, 0.2128502266793396]","[0.20815387404652028, 0.1800696680013885, 0.2676608696581734]","[0.18866071052799044, 0.17555794283175855, 0.21205432167731536]"
546,Bachelors,3,"['Senior', 'Senior', 'Worker']","[0.23691686364120376, 0.1887155236226978, 0.21060757389383583]","[0.21085152475951036, 0.17660142600033263, 0.21529315487850165]","[0.19874894279443456, 0.17518832412454205, 0.22297354890132023]"
547,Bachelors,4,"['Worker', 'Worker']","[0.20367266100415882, 0.21060757389383583]","[0.20821024300903876, 0.21529315487850165]","[0.24082325684547093, 0.22297354890132023]"
548,Certificate,0,"['Worker', 'Worker', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Junior']","[0.18970444854237156, 0.1835310873271182, 0.22603552708878893, 0.18237370053945695, 0.18237370053945695, 0.18701345793948057, 0.1769929271995106, 0.18237370053945695, 0.18237370053945695, 0.1769929271995106, 0.18701345793948057, 0.2329682085362559]","[0.18620382677474825, 0.1843498641237362, 0.2429402153346467, 0.20442542127263538, 0.20442542127263538, 0.2093081619413612, 0.19512913842065552, 0.20442542127263538, 0.20442542127263538, 0.19512913842065552, 0.2093081619413612, 0.22244721608631504]","[0.20611262881779782, 0.2174628525150895, 0.20568558768415438, 0.19744944849773718, 0.19744944849773718, 0.20063611737435422, 0.19205539454781825, 0.19744944849773718, 0.19744944849773718, 0.19205539454781825, 0.20063611737435422, 0.196678136994582]"
549,Associates,5,"['Senior', 'Specialist', 'Senior', 'Specialist']","[0.22261653854869376, 0.21405857086234062, 0.19982312155478066, 0.2128502266793396]","[0.21133653137059444, 0.23078422416947336, 0.18818017665009706, 0.2676608696581734]","[0.17901368712716306, 0.22070047278248314, 0.19885251789593877, 0.21205432167731536]"
550,Associates,4,"['Senior', 'Worker', 'Specialist', 'Junior', 'Junior']","[0.21957940662640205, 0.18706011661148808, 0.20788288902164606, 0.20393340477762115, 0.2166702928008116]","[0.2030910611482386, 0.18323649447994123, 0.24664061643802504, 0.2248044865578212, 0.20645996729200325]","[0.1831978835441967, 0.208080471204437, 0.1973918707015954, 0.1915032420528592, 0.18673865144861204]"
551,None/Other,0,"['Worker', 'Worker']","[0.19663709027947052, 0.1787242465884225]","[0.1887228029141178, 0.17312763105171985]","[0.19833471382409107, 0.1879199093909779]"
552,Masters,4,"['Specialist', 'Specialist', 'Specialist']","[0.20382661954120876, 0.22945864586962564, 0.22331615425599263]","[0.21651646924206397, 0.22955073798717907, 0.24339137549352569]","[0.17838360500484807, 0.17894590414854675, 0.2140745599391446]"
553,Masters,4,"['Specialist', 'Worker', 'Specialist', 'Senior', 'Specialist', 'Specialist']","[0.21934083823904652, 0.2043657315084195, 0.21934083823904652, 0.0, 0.21934083823904652, 0.21819918632044225]","[0.26121503073233465, 0.21304608519886428, 0.26121503073233465, 0.0, 0.26121503073233465, 0.2243635700060417]","[0.18991689879029297, 0.2230896700766802, 0.18991689879029297, 0.0, 0.18991689879029297, 0.22392889894054455]"
554,Bachelors,10,"['Worker', 'Specialist', 'Specialist', 'Specialist']","[0.19128956848142747, 0.20563345081890635, 0.19970045961445884, 0.22298094888578646]","[0.20492930735374365, 0.23586933576078634, 0.21035121587651084, 0.23538486841523784]","[0.21073549638354855, 0.19540460058356246, 0.19429626887328785, 0.205775118286868]"
555,Doctorate,4,"['Senior', 'Specialist', 'Specialist', 'Worker', 'Senior', 'Specialist', 'Specialist']","[0.2362068910224755, 0.2153771494348825, 0.23089174252405906, 0.18762105576007024, 0.21306753531721956, 0.20554157253920693, 0.21366739507326038]","[0.23036315642661703, 0.21995740390928104, 0.23884549314573655, 0.18717280419879823, 0.204514223139154, 0.27622981037470834, 0.24058780839512603]","[0.21286235497279735, 0.19890755464570978, 0.19721602346361353, 0.19038381210140876, 0.19745922625752993, 0.18274070294273922, 0.20401084980719364]"
556,Associates,0,"['Worker', 'Senior', 'Worker']","[0.18285091606332118, 0.0, 0.20456835155041625]","[0.17465791053238405, 0.0, 0.1982168517216299]","[0.21514898213957231, 0.0, 0.20574388181362221]"
557,Bachelors,5,"['Junior', 'Specialist', 'Specialist', 'Worker', 'Specialist', 'Worker']","[0.18433929609461835, 0.20639817216131107, 0.22603552708878893, 0.20011378661204873, 0.21844609062485695, 0.21060757389383583]","[0.1687751980729495, 0.2264154377294373, 0.2429402153346467, 0.19155440372272478, 0.22407948830882504, 0.21529315487850165]","[0.15405177374278106, 0.19989889769908747, 0.20568558768415438, 0.21171454073024598, 0.21287412040374926, 0.22297354890132023]"
558,Associates,0,"['Junior', 'Worker', 'Senior', 'Senior']","[0.2129318557002239, 0.22846477199572116, 0.20498219477333396, 0.23390163304763475]","[0.2255005036577704, 0.22090752960308005, 0.2015865752042345, 0.23051840044491081]","[0.20085326884467616, 0.22997546756974654, 0.19997493654234025, 0.20132925689210115]"
559,Masters,5,"['Worker', 'Senior', 'Junior', 'Worker', 'Worker', 'Worker']","[0.19845945887892444, 0.0, 0.18155659282647413, 0.20801111036355163, 0.19845945887892444, 0.20203113499263745]","[0.220691584944119, 0.0, 0.17321746205891037, 0.20571315616444807, 0.220691584944119, 0.2088489926187626]","[0.22956308692342092, 0.0, 0.17345874246357781, 0.2080241130273907, 0.22956308692342092, 0.21713076317247335]"
560,Bachelors,2,"['Specialist', 'Specialist', 'Junior', 'Specialist', 'Specialist', 'Senior', 'Specialist', 'Specialist', 'Specialist', 'Senior', 'Senior', 'Senior']","[0.19992702661074074, 0.20043946003595622, 0.19830003632294405, 0.1982629987819929, 0.1915572052615359, 0.2230773398911772, 0.23459771977776886, 0.20837335807993837, 0.2240897573028014, 0.21203753422109764, 0.21083012356317662, 0.2193704987591506]","[0.25115225895587096, 0.2659870028996005, 0.20348663251950463, 0.2786415778090584, 0.19758620859870782, 0.22100915734203716, 0.2626786575780548, 0.27070104530259254, 0.25575644472406167, 0.20780178358904625, 0.2082885274079968, 0.21538347536786706]","[0.21887841981948447, 0.19910862886751332, 0.20428996111675088, 0.1861371725365131, 0.17856863563598022, 0.17993377392612012, 0.19142627726600686, 0.18965151326886767, 0.1910078168897155, 0.1719376242426624, 0.17630679625271034, 0.18457684744036637]"
561,Bachelors,16,"['Senior', 'Senior', 'Worker', 'Worker', 'Worker', 'Senior', 'Worker', 'Worker', 'Worker', 'Worker', 'Worker', 'Worker', 'Worker', 'Worker', 'Worker', 'Senior', 'Senior', 'Worker']","[0.20929994723145523, 0.20929994723145523, 0.22672266631879467, 0.1832214476515088, 0.1835310873271182, 0.19848421090447643, 0.19298503788360266, 0.22672266631879467, 0.20226472845153493, 0.18696405758214005, 0.2079173924130126, 0.2079173924130126, 0.20106441672807607, 0.1832214476515088, 0.1832214476515088, 0.17756405641033274, 0.23968400087463415, 0.1908426517265131]","[0.19294205446736876, 0.19294205446736876, 0.2127204050470599, 0.1745367874904701, 0.1843498641237362, 0.1828972575957877, 0.20008312629255603, 0.2127204050470599, 0.19143253060819476, 0.17790519337267402, 0.20105026355884423, 0.20105026355884423, 0.21899650934411186, 0.1745367874904701, 0.1745367874904701, 0.16919472783799827, 0.22546735802246928, 0.19513375598330093]","[0.19114684343656346, 0.19114684343656346, 0.22686747891253486, 0.2117912550933283, 0.2174628525150895, 0.19804260355111936, 0.20433720045326792, 0.22686747891253486, 0.21808598754900396, 0.2084180150024213, 0.2250362186718335, 0.2250362186718335, 0.21929473396797788, 0.2117912550933283, 0.2117912550933283, 0.16491936265437762, 0.1885110774220499, 0.21146409305666397]"
562,Masters,0,"['Senior', 'Worker', 'Worker', 'Worker']","[0.0, 0.16833288491871973, 0.16833288491871973, 0.17711571258797087]","[0.0, 0.1791882049117299, 0.1791882049117299, 0.18258941950843374]","[0.0, 0.19899974249595898, 0.19899974249595898, 0.20605923933833906]"
563,Masters,3,"['Junior', 'Senior', 'Senior']","[0.23182395291494748, 0.18799686881238062, 0.24242903989157882]","[0.21496493184396154, 0.18540106551278962, 0.2255115810618094]","[0.18673496645749044, 0.17970759160743535, 0.20375124270256248]"
564,None/Other,2,"['Senior', 'Senior', 'Specialist', 'Senior', 'Junior', 'Senior']","[0.21978523567142247, 0.0, 0.22661847585788034, 0.21547850919051678, 0.22173889608710096, 0.23390163304763475]","[0.1977650378459216, 0.0, 0.25762013802526273, 0.21354456740659272, 0.22133063805855166, 0.23051840044491081]","[0.1844797358034185, 0.0, 0.20231518081993358, 0.19818380545766606, 0.21330302475460688, 0.20132925689210115]"
565,Certificate,2,"['Senior', 'Junior']","[0.19235099086011448, 0.20080764398126646]","[0.1718932028533461, 0.18088590417925046]","[0.181842755737851, 0.18857397269651496]"
566,Bachelors,7,"['Junior', 'Senior', 'Worker']","[0.20200605088835943, 0.23511504116552492, 0.20210568861801517]","[0.18276558124371878, 0.21495695244150573, 0.19703019232675562]","[0.17259415916322957, 0.183093217711088, 0.21258880176540337]"
567,Associates,2,"['Specialist', 'Senior', 'Senior', 'Specialist', 'Specialist']","[0.2108657965591748, 0.19982312155478066, 0.18324221046132055, 0.20649326386971995, 0.22103250955271905]","[0.24499422359116038, 0.18818017665009706, 0.16471283412642632, 0.21137386898513763, 0.23818669319874236]","[0.20095666637382792, 0.19885251789593877, 0.17967976723425855, 0.1960550641253576, 0.2225338385325845]"
568,None/Other,8,"['Worker', 'Worker', 'Worker', 'Worker', 'Worker', 'Worker', 'Worker', 'Junior', 'Worker']","[0.19848863820510704, 0.1871043959191299, 0.20826299814876154, 0.18939363334021705, 0.1871043959191299, 0.19845945887892444, 0.19845945887892444, 0.2214988102696595, 0.19167768593498788]","[0.19880515886745923, 0.17093388589565564, 0.19485466623266737, 0.17567131366304078, 0.17093388589565564, 0.220691584944119, 0.220691584944119, 0.2252810628955281, 0.18867777048308895]","[0.2038997061625653, 0.19450873323077314, 0.21362540307088915, 0.20206631075968878, 0.19450873323077314, 0.22956308692342092, 0.22956308692342092, 0.20655973920410745, 0.20750372290304941]"
569,None/Other,0,"['Senior', 'Worker']","[0.1944830350889377, 0.21060757389383583]","[0.18716722419918458, 0.21529315487850165]","[0.17461417943924532, 0.22297354890132023]"
570,Associates,2,"['Specialist', 'Senior', 'Senior', 'Specialist']","[0.21432870851311073, 0.20929994723145523, 0.20809037951656464, 0.20845415687606422]","[0.23174199309405896, 0.19294205446736876, 0.18588403304408546, 0.26641508494273336]","[0.19227877671493712, 0.19114684343656346, 0.20435172986966219, 0.21122054461841022]"
571,Bachelors,0,"['Senior', 'Senior', 'Senior']","[0.2089769039656837, 0.21839870617675905, 0.22711414155001167]","[0.17249836307761476, 0.19806195715846928, 0.2056798371341075]","[0.15825835945942165, 0.17630016981983268, 0.1807869405959655]"
572,None/Other,1,"['Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist']","[0.2108755721381918, 0.20902417838221382, 0.20902417838221382, 0.20902417838221382, 0.19972778932651986, 0.21819918632044225]","[0.23400256238357536, 0.2376514279035422, 0.2376514279035422, 0.2376514279035422, 0.2493043074528158, 0.2243635700060417]","[0.22817092609496972, 0.21648523385751137, 0.21648523385751137, 0.21648523385751137, 0.21490421845177876, 0.22392889894054455]"
573,None/Other,0,['Junior'],[0.19183911407312065],[0.1910692051774417],[0.19277694202966286]
574,Masters,2,"['Worker', 'Specialist', 'Senior', 'Specialist']","[0.19845945887892444, 0.2205029364011258, 0.22435357094866976, 0.20564868047613988]","[0.220691584944119, 0.24674303559648839, 0.21694911803147257, 0.2197184773168811]","[0.22956308692342092, 0.21981272021860113, 0.2004951471796851, 0.21971568735021701]"
575,None/Other,1,"['Specialist', 'Senior']","[0.22606526136113003, 0.23390163304763475]","[0.2655203877856855, 0.23051840044491081]","[0.19828690170276528, 0.20132925689210115]"
576,Masters,1,"['Senior', 'Senior', 'Specialist', 'Worker']","[0.18537435791338744, 0.19402975760310795, 0.22477073232644415, 0.17879367351204467]","[0.1795567561364643, 0.18707436144660355, 0.25201766814403403, 0.1808237540367488]","[0.18334215146302907, 0.17889533037013045, 0.19149025526796787, 0.19771572658024283]"
577,None/Other,6,"['Specialist', 'Junior', 'Junior', 'Specialist', 'Specialist', 'Worker']","[0.17365324815310845, 0.19155420088731814, 0.21518529794187652, 0.20902417838221382, 0.20135849670009656, 0.17236920628594973]","[0.17523537671995185, 0.17623283272340698, 0.19764216870843818, 0.2376514279035422, 0.2369102892324917, 0.1768893116547293]","[0.17300457686386364, 0.1634600418890758, 0.18182348304632556, 0.21648523385751137, 0.22235532260653648, 0.19164022990807764]"
578,Bachelors,5,"['Senior', 'Worker', 'Junior', 'Junior', 'Worker', 'Worker', 'Senior', 'Junior', 'Senior']","[0.2001970888043193, 0.16833288491871973, 0.20962615292504308, 0.215626754089033, 0.1992772206756577, 0.19008964364696632, 0.1996788638823594, 0.21012132204092634, 0.20853374284705817]","[0.18757640643439835, 0.1791882049117299, 0.2106628269999818, 0.20570682192541534, 0.18872898080956274, 0.1884574127100784, 0.18775494764739395, 0.190218325102177, 0.2071922013413936]","[0.19415763746250567, 0.19899974249595898, 0.19516907069715747, 0.19139916181945846, 0.19976189495502567, 0.20160695985597987, 0.1887827933337965, 0.17695710764951617, 0.1965906983044379]"
579,Masters,9,"['Specialist', 'Senior', 'Senior', 'Junior', 'Senior', 'Senior']","[0.20644748840652732, 0.18961103208605334, 0.23713263039880697, 0.2315671034556128, 0.21260061304262462, 0.21254592271651104]","[0.23009616974516378, 0.1688775209344874, 0.23513168832036507, 0.22958827520824868, 0.19049366083416097, 0.19893336539384235]","[0.21001260446897443, 0.17223841254816416, 0.19649706021282723, 0.20637231951812585, 0.20482912677940637, 0.18458758695735455]"
580,None/Other,8,"['Senior', 'Worker', 'Senior', 'Specialist', 'Senior']","[0.22766383717420746, 0.1987995379334848, 0.19982312155478066, 0.22103250955271905, 0.23390163304763475]","[0.2125079040184664, 0.18702194669326375, 0.18818017665009706, 0.23818669319874236, 0.23051840044491081]","[0.21062511668976608, 0.2123183869222018, 0.19885251789593877, 0.2225338385325845, 0.20132925689210115]"
581,Masters,18,"['Worker', 'Senior', 'Senior', 'Worker', 'Junior', 'Worker']","[0.18939363334021705, 0.1856963645644113, 0.1856963645644113, 0.18616220811965528, 0.18014545330101925, 0.18898091305322118]","[0.17567131366304078, 0.16464917569888393, 0.16464917569888393, 0.17979980031832918, 0.16842901235508415, 0.18388147806844257]","[0.20206631075968878, 0.17614751715261456, 0.17614751715261456, 0.18794243434714836, 0.17234544872536867, 0.19629050764260775]"
582,Masters,2,"['Worker', 'Senior', 'Worker', 'Worker']","[0.20817005829252225, 0.1821170541234215, 0.2017952241182225, 0.21060757389383583]","[0.18859043086105287, 0.16475252749672337, 0.19126165322696723, 0.21529315487850165]","[0.22101747991877724, 0.17436047528048534, 0.2171811241407629, 0.22297354890132023]"
583,HighSchool,8,"['Worker', 'Worker', 'Senior', 'Junior']","[0.1928734535157411, 0.18809717490185354, 0.2208003159763612, 0.20162645266984194]","[0.1976099000215371, 0.19526187627754704, 0.20624456316436837, 0.19751231196851923]","[0.2102441081185814, 0.20140967623737688, 0.19920188779353598, 0.18321586246923294]"
584,None/Other,5,"['Specialist', 'Senior', 'Specialist', 'Junior', 'Senior', 'Specialist', 'Specialist', 'Junior']","[0.2100938124780078, 0.21674315262224805, 0.210566401189086, 0.21538933363769605, 0.21136190552393996, 0.22048134212204873, 0.2094201144533416, 0.21703020419025126]","[0.2206247942621921, 0.21370655769655048, 0.2280717914997578, 0.21211912418114426, 0.2008469854698239, 0.29132852633215944, 0.2223760366717953, 0.20330770002892096]","[0.19244495575542517, 0.19778424577226955, 0.20155805752264316, 0.19338879382166863, 0.172886398686515, 0.20832562237229335, 0.19281415790768325, 0.18263829879024887]"
585,None/Other,1,"['Worker', 'Worker']","[0.22423058063559223, 0.19972727287226658]","[0.22430956664770488, 0.21864902234479613]","[0.2391538284065545, 0.22318886226027052]"
586,Masters,2,"['Specialist', 'Worker', 'Worker', 'Junior', 'Senior', 'Worker', 'Senior', 'Specialist', 'Specialist', 'Specialist', 'Worker', 'Junior']","[0.21039898425006925, 0.18861346576565324, 0.20769711294444065, 0.20645250900982964, 0.21212810377198815, 0.18665077645037056, 0.21412039291351886, 0.21847749691216944, 0.23160205590110627, 0.21537426214013905, 0.21060757389383583, 0.2166702928008116]","[0.22991175589985222, 0.17385393603934585, 0.22283758469761633, 0.20954313350457077, 0.19786654857416658, 0.16917007486328575, 0.20657177659882836, 0.2409070355067272, 0.2325079000225161, 0.2620745371915688, 0.21529315487850165, 0.20645996729200325]","[0.1995326471299533, 0.20482532829116148, 0.2340451195063827, 0.2060805522804013, 0.18666349863970663, 0.18829697658635683, 0.19008719351101802, 0.22482352083360307, 0.1926202112146018, 0.1855910155182859, 0.22297354890132023, 0.18673865144861204]"
587,Bachelors,5,"['Junior', 'Senior', 'Worker', 'Specialist']","[0.20337630072440527, 0.22258343934428118, 0.15905803615214334, 0.2206847639512628]","[0.21691180774706695, 0.19448030704189587, 0.17417524621291355, 0.23475478990941478]","[0.19534267898653215, 0.19583311906563053, 0.18154021005580964, 0.22751898744853294]"
588,Bachelors,4,"['Specialist', 'Specialist', 'Specialist', 'Senior', 'Junior', 'Specialist', 'Specialist']","[0.2190127625003548, 0.1985919033452392, 0.20680915649015488, 0.22136890507966472, 0.19569191442486103, 0.21412357240624258, 0.20052169366182349]","[0.23126750806652546, 0.22625573771736995, 0.23884345079445735, 0.21703036651830238, 0.18108716588613213, 0.23692805839813946, 0.22557161286047417]","[0.19526366705830167, 0.20275695346607647, 0.1956693454547096, 0.18868812250573208, 0.17106032706829344, 0.2024330205898262, 0.213580309764977]"
589,Certificate,0,"['Senior', 'Senior', 'Senior', 'Specialist', 'Specialist']","[0.19668097418351507, 0.17984689734633924, 0.22220725087247917, 0.21907950210499513, 0.21724214202929407]","[0.19512250151093857, 0.17320515648042614, 0.21941321235284583, 0.23617930736607703, 0.2209525534299942]","[0.1875978922198407, 0.17742064555865955, 0.19626974600763233, 0.19990011787596032, 0.19802996328338235]"
590,Associates,2,['Specialist'],[0.2019945488677901],[0.2061954497645313],[0.20577641612077663]
591,Associates,0,"['Worker', 'Senior', 'Worker', 'Worker']","[0.19829010056146987, 0.19833867662328591, 0.20097246930930587, 0.18660833000467913]","[0.1884523359276572, 0.1799843010469205, 0.1989472280366326, 0.18943593140499282]","[0.20942127595723514, 0.18212462196117896, 0.21529932477529526, 0.20107641028288586]"
592,Bachelors,6,"['Specialist', 'Junior', 'Worker', 'Worker']","[0.19577844212553705, 0.21502666482183566, 0.20741046854857684, 0.18768787647891033]","[0.24699029869918662, 0.2135229558661285, 0.20099829397926333, 0.188708307530113]","[0.19755623863016564, 0.1854700472183143, 0.20975243157540524, 0.199370192587019]"
593,Associates,5,"['Specialist', 'Specialist', 'Worker', 'Specialist', 'Senior', 'Specialist']","[0.2077150483321119, 0.214552882480941, 0.18684237812828855, 0.21074192905364217, 0.20398684028600694, 0.21819918632044225]","[0.21084240361271636, 0.23929871055976423, 0.17265708587303755, 0.22525112917880644, 0.19840166103003834, 0.2243635700060417]","[0.1955817546092316, 0.22314306454438637, 0.20489479453039242, 0.2096987280473189, 0.18928970710733273, 0.22392889894054455]"
594,HighSchool,0,"['Specialist', 'Specialist', 'Specialist', 'Specialist', 'Worker']","[0.20176499615703816, 0.21096992952030696, 0.19955999685141046, 0.22103250955271905, 0.18660833000467913]","[0.2274449167240584, 0.22719402136737904, 0.20709179565311608, 0.23818669319874236, 0.18943593140499282]","[0.20443768107947008, 0.20827344613424878, 0.20404267960520123, 0.2225338385325845, 0.20107641028288586]"
595,Associates,5,"['Specialist', 'Specialist', 'Worker', 'Specialist', 'Senior', 'Specialist']","[0.2077150483321119, 0.214552882480941, 0.18684237812828855, 0.21074192905364217, 0.20398684028600694, 0.21819918632044225]","[0.21084240361271636, 0.23929871055976423, 0.17265708587303755, 0.22525112917880644, 0.19840166103003834, 0.2243635700060417]","[0.1955817546092316, 0.22314306454438637, 0.20489479453039242, 0.2096987280473189, 0.18928970710733273, 0.22392889894054455]"
596,Masters,4,"['Specialist', 'Specialist', 'Worker', 'Specialist', 'Specialist', 'Senior', 'Junior', 'Specialist']","[0.20668662728023082, 0.20486046700192465, 0.19037307417894692, 0.20486046700192465, 0.20486046700192465, 0.22359502462875402, 0.21542642159540734, 0.20493367590861905]","[0.21282290261335118, 0.23268173508780532, 0.1857514388922799, 0.23268173508780532, 0.23268173508780532, 0.21823271982656964, 0.21170945469535785, 0.22783720949201736]","[0.21057193260845483, 0.21986107252823855, 0.19290261692755792, 0.21986107252823855, 0.21986107252823855, 0.20405718703495107, 0.18826223160237732, 0.2257385681265217]"
597,None/Other,2,"['Worker', 'Worker']","[0.18911289686721394, 0.19219606157001282]","[0.18902542049602716, 0.192786947880257]","[0.2197555672299936, 0.20501249995265067]"
598,Masters,0,"['Senior', 'Senior', 'Senior', 'Senior', 'Junior', 'Senior', 'Senior', 'Senior']","[0.23233053227888212, 0.2058407660253783, 0.22158757151251704, 0.22563262265864217, 0.24566341573045583, 0.21928064386011445, 0.19559720374977796, 0.22345294014725325]","[0.2004487444626966, 0.18453502640587355, 0.20307146670897483, 0.22020664184050429, 0.24031538427441954, 0.20270192453713365, 0.18806058546270626, 0.21908367203406962]","[0.18250465096109716, 0.1874203243236366, 0.190961416442149, 0.20404702105609923, 0.2089887764792945, 0.2030539121951699, 0.19489857029410904, 0.2110932708106229]"
599,Associates,0,['Worker'],[0.18678682980830963],[0.1771973938516591],[0.20663926808313055]
600,Masters,8,"['Senior', 'Senior', 'Specialist', 'Specialist', 'Specialist', 'Specialist']","[0.2199054532603322, 0.19976460380323913, 0.22201665403470042, 0.21992643711649065, 0.23978806870544983, 0.2261666174889053]","[0.20150389610202135, 0.18600746075314, 0.24002673818553313, 0.23498777485144037, 0.2477796523655451, 0.24417511347835902]","[0.18418143438610066, 0.19504349494188497, 0.2128176286930222, 0.20615584026143752, 0.20931996968327204, 0.21284893841973798]"
601,Masters,0,"['Senior', 'Senior']","[0.2334096567979962, 0.22711414155001167]","[0.2299596438559974, 0.2056798371341075]","[0.19588457666070033, 0.1807869405959655]"
602,Masters,5,"['Worker', 'Senior', 'Specialist']","[0.19083718995645185, 0.2061513241530714, 0.22086130681092653]","[0.1793621834011908, 0.17666761887722363, 0.2604668872368593]","[0.19257569501108154, 0.16394102484758, 0.20402998018315355]"
603,Masters,5,"['Worker', 'Senior', 'Senior', 'Specialist']","[0.20867486468004806, 0.0, 0.18990229588243246, 0.2184130925090762]","[0.20025591124664277, 0.0, 0.16873486744180138, 0.23458028388520202]","[0.22125277345008618, 0.0, 0.18971733124320708, 0.1869306997766757]"
604,Associates,0,"['Senior', 'Senior', 'Junior', 'Specialist', 'Senior']","[0.20929994723145523, 0.18990229588243246, 0.2213765680058941, 0.20758585656430462, 0.20743896439993068]","[0.19294205446736876, 0.16873486744180138, 0.20934762992548442, 0.21671593167110728, 0.1973643775673468]","[0.19114684343656346, 0.18971733124320708, 0.2016088328598803, 0.19107931637095074, 0.19925424985524887]"
