,Education,NumSkills,WorkExperience,StartDates,EndDates
251,None/Other,7,"['Senior', 'Senior', 'Senior', 'Senior', 'Worker', 'Senior', 'Specialist', 'Senior', 'Senior']","['01-2002', '01-2003', '01-2004', '01-2005', '08-2006', '08-2008', '08-2010', '08-2012', '03-2016']","['01-2003', '01-2004', '01-2005', '01-2006', '03-2008', '09-2009', '08-2012', '03-2016', '01-2019']"
252,Masters,0,"['Specialist', 'Specialist', 'Specialist', 'Specialist']","['12-1990', '12-2002', '08-2004', '02-2018']","['12-2002', '08-2006', '03-2016', '06-2018']"
253,Bachelors,1,"['Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Worker', 'Specialist', 'Specialist', 'Senior', 'Specialist', 'Senior', 'Specialist', 'Specialist', 'Senior', 'Senior', 'Specialist', 'Senior', 'Specialist']","['05-1996', '11-1997', '06-1999', '06-1998', '02-2000', '03-2000', '02-2003', '05-2004', '08-1997', '07-2001', '01-2005', '06-2006', '01-2008', '10-2010', '11-2015', '05-2008', '03-2014', '04-2016', '03-2017']","['08-1997', '06-1998', '02-2000', '03-2000', '07-2001', '02-2003', '05-2004', '02-2005', '09-2005', '06-2006', '04-2007', '05-2008', '03-2009', '10-2011', '03-2016', '01-2019', '01-2019', '01-2019', '01-2019']"
254,Masters,1,"['Senior', 'Specialist', 'Senior', 'Senior', 'Specialist', 'Senior', 'Specialist', 'Senior']","['09-1993', '12-2006', '06-2007', '07-2011', '06-2013', '02-2013', '11-2013', '12-2014']","['07-2006', '06-2007', '02-2011', '07-2012', '09-2013', '10-2013', '10-2014', '01-2019']"
255,Bachelors,7,"['Specialist', 'Junior', 'Specialist', 'Senior', 'Junior', 'Specialist']","['07-2005', '04-2011', '06-2012', '10-2013', '05-2015', '11-2015']","['09-2010', '09-2011', '10-2013', '02-2014', '01-2019', '01-2019']"
256,Masters,1,"['Specialist', 'Specialist', 'Senior', 'Specialist', 'Specialist', 'Senior', 'Senior', 'Senior', 'Senior', 'Junior', 'Specialist']","['01-1995', '01-1999', '01-2001', '01-2002', '01-2004', '01-2007', '01-2009', '01-2010', '01-2014', '01-2016', '09-2016']","['01-1999', '01-2001', '01-2002', '01-2004', '01-2007', '01-2009', '01-2010', '01-2014', '01-2015', '01-2019', '01-2019']"
257,Masters,1,"['Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Senior', 'Specialist', 'Specialist']","['08-2000', '08-2003', '02-2004', '06-2008', '10-2015', '10-2017', '04-2018', '06-2018']","['08-2001', '06-2008', '06-2008', '10-2015', '07-2016', '01-2019', '01-2019', '01-2019']"
258,Masters,9,"['Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Junior', 'Junior', 'Junior', 'Specialist', 'Specialist', 'Specialist']","['01-1999', '01-2006', '01-2007', '01-2007', '01-2008', '01-2009', '04-2011', '01-2011', '09-2014', '09-2016', '03-2017']","['01-2006', '01-2007', '01-2008', '01-2008', '01-2009', '01-2011', '10-2011', '01-2014', '09-2016', '03-2017', '01-2019']"
259,Doctorate,3,"['Specialist', 'Junior', 'Junior', 'Specialist', 'Senior', 'Senior', 'Senior', 'Junior', 'Specialist', 'Senior']","['04-2000', '03-2001', '08-2003', '08-2003', '08-2005', '05-2006', '02-2011', '06-2008', '02-2012', '07-2016']","['02-2001', '05-2003', '05-2004', '05-2004', '05-2006', '11-2010', '02-2012', '01-2015', '06-2016', '01-2019']"
260,Masters,1,"['Specialist', 'Specialist', 'Specialist', 'Specialist', 'Senior', 'Specialist', 'Junior', 'Senior', 'Senior', 'Senior', 'Specialist', 'Specialist', 'Junior', 'Worker', 'Senior', 'Specialist', 'Senior', 'Senior', 'Specialist']","['02-1987', '12-1988', '01-1990', '05-1990', '01-1992', '01-1993', '07-1995', '06-1996', '02-1996', '09-1996', '01-2000', '01-2001', '07-2001', '08-2002', '01-2004', '10-2004', '01-2006', '01-2010', '08-2007']","['11-1989', '12-1989', '06-1990', '12-1991', '01-1993', '07-1995', '06-1996', '09-1996', '09-1999', '12-1999', '01-2001', '07-2001', '08-2002', '10-2004', '01-2007', '08-2007', '08-2007', '01-2011', '01-2019']"
261,Masters,1,"['Specialist', 'Specialist', 'Senior', 'Specialist']","['07-2014', '10-2015', '06-2016', '01-2017']","['09-2014', '05-2016', '08-2016', '01-2019']"
262,Masters,44,"['Specialist', 'Senior', 'Senior', 'Senior', 'Specialist', 'Senior', 'Specialist']","['01-2002', '01-2006', '01-2009', '01-2012', '01-2013', '03-2016', '12-2016']","['01-2006', '01-2009', '01-2012', '01-2013', '01-2016', '12-2016', '01-2019']"
263,Bachelors,0,"['Specialist', 'Specialist', 'Specialist', 'Senior', 'Specialist', 'Specialist']","['11-1982', '06-2005', '04-2008', '01-2009', '03-2013', '05-2016']","['01-2005', '04-2008', '01-2009', '03-2013', '05-2016', '01-2019']"
264,Masters,9,['Senior'],['10-2012'],['04-2015']
265,None/Other,0,"['Senior', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Senior', 'Senior', 'Senior']","['11-1984', '06-1987', '10-1995', '01-1998', '10-2000', '10-2004', '10-2004', '03-2018']","['06-1987', '09-1995', '11-1997', '10-2000', '10-2004', '04-2013', '01-2019', '01-2019']"
266,Bachelors,0,"['Junior', 'Specialist', 'Specialist', 'Junior', 'Junior', 'Specialist', 'Junior', 'Specialist', 'Specialist', 'Junior']","['06-2014', '06-2014', '05-2015', '01-2014', '01-2014', '06-2016', '01-2014', '01-2014', '07-2017', '01-2018']","['08-2014', '08-2014', '08-2015', '01-2016', '01-2016', '08-2016', '01-2017', '01-2017', '01-2018', '01-2019']"
267,Certificate,0,"['Worker', 'Specialist', 'Specialist', 'Specialist', 'Specialist']","['05-2006', '04-2014', '08-2015', '10-2015', '06-2017']","['09-2013', '09-2015', '12-2015', '06-2017', '01-2019']"
268,Bachelors,0,"['Junior', 'Specialist', 'Senior', 'Worker', 'Specialist', 'Senior', 'Senior', 'Senior', 'Senior']","['05-1998', '06-1999', '07-2003', '06-2002', '01-2005', '05-2010', '10-2013', '07-2013', '07-2016']","['06-1999', '06-2002', '12-2003', '12-2004', '04-2010', '07-2013', '04-2015', '07-2016', '01-2019']"
269,Masters,0,"['Senior', 'Specialist', 'Specialist', 'Specialist', 'Senior']","['09-2011', '08-2014', '03-2016', '09-2016', '07-2017']","['08-2014', '03-2016', '09-2016', '06-2017', '05-2018']"
270,Bachelors,5,"['Specialist', 'Specialist']","['05-2017', '01-2018']","['08-2017', '06-2018']"
271,Bachelors,0,"['Specialist', 'Senior', 'Junior', 'Senior']","['05-2005', '01-2007', '10-2013', '11-2017']","['01-2007', '12-2012', '05-2014', '11-2017']"
272,Bachelors,6,"['Specialist', 'Specialist', 'Specialist', 'Specialist']","['01-2007', '06-2012', '08-2011', '02-2015']","['01-2011', '12-2012', '08-2013', '02-2018']"
273,Masters,0,"['Specialist', 'Junior', 'Senior', 'Specialist', 'Worker', 'Senior', 'Senior']","['03-2006', '09-2007', '09-2008', '11-2012', '01-2013', '05-2014', '05-2015']","['02-2007', '09-2008', '02-2012', '12-2012', '05-2014', '05-2015', '01-2019']"
274,Masters,0,"['Senior', 'Junior', 'Specialist', 'Senior', 'Specialist', 'Senior', 'Specialist']","['01-1994', '01-1999', '01-2001', '01-2002', '01-2003', '01-2005', '01-2011']","['01-1996', '01-2000', '01-2001', '01-2003', '01-2005', '01-2011', '01-2019']"
275,Masters,3,"['Specialist', 'Senior', 'Senior', 'Senior', 'Senior', 'Senior', 'Senior', 'Specialist', 'Specialist', 'Senior', 'Specialist']","['01-1979', '01-1981', '01-1982', '01-1985', '01-1987', '01-1990', '01-1993', '01-1994', '01-1999', '01-2003', '01-2010']","['01-1980', '01-1982', '01-1984', '01-1987', '01-1990', '01-1993', '01-1994', '01-1999', '01-2002', '01-2010', '01-2019']"
276,Masters,0,"['Senior', 'Specialist', 'Senior', 'Junior', 'Specialist', 'Junior', 'Senior', 'Specialist']","['06-2001', '03-2002', '01-2003', '11-2009', '07-2006', '09-2006', '01-2015', '01-2017']","['08-2001', '02-2003', '01-2006', '01-2013', '12-2015', '01-2017', '01-2017', '01-2018']"
277,Masters,6,"['Specialist', 'Specialist', 'Specialist', 'Senior', 'Senior', 'Junior', 'Specialist']","['02-2004', '04-2004', '05-2005', '04-2009', '06-2010', '02-2011', '12-2017']","['04-2004', '05-2005', '12-2008', '06-2010', '02-2011', '04-2017', '01-2019']"
278,Bachelors,5,"['Specialist', 'Senior', 'Senior', 'Junior', 'Specialist', 'Senior']","['06-2012', '07-2013', '01-2011', '09-2015', '08-2016', '04-2018']","['07-2013', '05-2014', '08-2015', '08-2016', '04-2018', '01-2019']"
279,Masters,5,"['Specialist', 'Specialist', 'Specialist']","['01-2006', '01-2015', '11-2017']","['01-2011', '11-2017', '01-2019']"
280,Masters,1,"['Senior', 'Senior', 'Senior', 'Specialist', 'Specialist']","['02-1998', '06-2005', '05-2009', '01-2011', '02-2014']","['06-2005', '05-2009', '01-2011', '02-2014', '01-2019']"
281,Bachelors,6,"['Specialist', 'Senior', 'Senior', 'Specialist', 'Junior', 'Specialist', 'Specialist', 'Specialist', 'Specialist']","['06-1987', '08-1993', '04-1997', '01-2002', '06-2009', '08-2011', '10-2012', '10-2013', '07-2014']","['07-1993', '04-1997', '12-2001', '06-2009', '05-2011', '07-2012', '10-2013', '04-2014', '01-2019']"
282,Bachelors,0,"['Worker', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Senior', 'Specialist', 'Senior', 'Junior', 'Junior']","['11-2003', '11-2008', '11-2008', '11-2011', '03-2012', '10-2012', '12-2013', '04-2015', '06-2015', '06-2018']","['11-2008', '10-2010', '10-2010', '02-2012', '06-2012', '12-2013', '05-2014', '06-2015', '06-2018', '01-2019']"
283,Bachelors,6,"['Specialist', 'Senior', 'Senior', 'Specialist', 'Junior', 'Specialist', 'Specialist', 'Specialist', 'Specialist']","['06-1987', '08-1993', '04-1997', '01-2002', '06-2009', '08-2011', '10-2012', '10-2013', '07-2014']","['07-1993', '04-1997', '12-2001', '06-2009', '05-2011', '07-2012', '10-2013', '04-2014', '01-2019']"
284,Doctorate,1,"['Junior', 'Specialist', 'Specialist', 'Junior', 'Junior', 'Senior', 'Senior']","['01-1991', '01-1998', '01-2006', '01-2004', '01-2009', '01-2010', '01-2010']","['01-1998', '01-2004', '01-2008', '01-2009', '01-2010', '01-2019', '01-2019']"
285,Doctorate,19,"['Specialist', 'Specialist', 'Junior', 'Senior', 'Specialist', 'Senior', 'Senior', 'Senior', 'Senior', 'Specialist']","['09-1995', '01-1999', '11-2000', '05-2001', '10-2003', '12-2004', '07-2009', '08-2010', '01-2012', '10-2014']","['01-1999', '05-2001', '05-2001', '12-2004', '12-2004', '07-2009', '08-2010', '08-2011', '08-2014', '01-2019']"
286,Masters,7,"['Specialist', 'Specialist', 'Specialist', 'Specialist', 'Senior']","['11-2003', '04-2010', '04-2015', '01-2019', '01-2017']","['02-2010', '02-2015', '05-2017', '01-2019', '01-2019']"
287,Bachelors,3,"['Specialist', 'Junior', 'Specialist', 'Specialist', 'Specialist', 'Senior', 'Senior', 'Senior', 'Specialist', 'Senior', 'Specialist']","['04-1997', '11-1998', '05-1999', '05-2000', '11-2000', '02-2001', '07-2004', '03-2005', '08-2006', '08-2007', '01-2013']","['10-1998', '03-1999', '04-2000', '11-2000', '02-2001', '06-2004', '06-2005', '08-2006', '08-2007', '10-2012', '01-2019']"
288,Bachelors,8,"['Specialist', 'Junior', 'Specialist', 'Junior', 'Specialist', 'Senior', 'Specialist', 'Senior', 'Senior', 'Specialist']","['01-2000', '04-2005', '01-2007', '03-2008', '12-2008', '11-2009', '05-2010', '10-2011', '06-2016', '03-2018']","['01-2005', '10-2006', '10-2007', '11-2008', '09-2009', '01-2010', '10-2011', '05-2016', '12-2017', '01-2019']"
289,Bachelors,0,"['Senior', 'Senior', 'Senior', 'Senior', 'Junior', 'Senior', 'Junior', 'Specialist']","['08-1999', '03-2002', '03-2003', '07-2005', '07-2006', '11-2007', '09-2010', '10-2012']","['03-2002', '03-2003', '07-2005', '07-2006', '10-2007', '09-2008', '10-2012', '01-2019']"
290,Certificate,22,"['Specialist', 'Senior', 'Senior', 'Specialist', 'Specialist', 'Senior', 'Specialist', 'Specialist', 'Junior', 'Specialist', 'Specialist', 'Junior', 'Junior', 'Junior', 'Junior', 'Junior']","['09-1998', '11-1999', '11-2000', '02-2002', '03-2003', '01-2004', '02-2005', '03-2006', '03-2009', '08-2010', '10-2011', '10-2011', '10-2011', '11-2012', '06-2013', '10-2016']","['11-1999', '11-2000', '11-2001', '07-2002', '07-2003', '07-2004', '04-2005', '03-2009', '07-2010', '10-2011', '09-2012', '09-2012', '09-2012', '04-2013', '07-2016', '02-2017']"
291,Masters,5,"['Senior', 'Junior', 'Junior', 'Senior', 'Senior', 'Senior', 'Senior', 'Senior']","['04-1998', '12-2000', '06-2005', '12-2005', '01-2008', '07-2011', '03-2015', '04-2017']","['04-2001', '06-2005', '12-2005', '12-2007', '07-2011', '03-2015', '04-2017', '01-2019']"
292,Doctorate,5,"['Specialist', 'Senior', 'Junior', 'Senior', 'Specialist', 'Specialist', 'Specialist', 'Worker', 'Senior']","['09-2005', '02-2010', '04-2010', '03-2011', '06-2011', '04-2014', '02-2016', '10-2017', '08-2018']","['08-2007', '02-2010', '07-2010', '06-2011', '04-2014', '02-2016', '10-2017', '03-2018', '01-2019']"
293,Masters,0,"['Specialist', 'Junior', 'Senior', 'Specialist', 'Senior', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Senior', 'Specialist', 'Specialist', 'Junior', 'Junior', 'Junior', 'Junior', 'Senior']","['06-1973', '09-1975', '07-1977', '07-1978', '07-1980', '06-1984', '06-1989', '06-1993', '06-1996', '06-1998', '11-1999', '05-2002', '08-2004', '06-2008', '03-2012', '01-2014', '09-2014', '05-2017']","['09-1975', '07-1977', '06-1978', '07-1980', '06-1984', '06-1989', '06-1993', '06-1996', '06-1998', '11-1999', '04-2002', '08-2004', '03-2008', '03-2012', '06-2013', '04-2014', '12-2016', '01-2019']"
294,Masters,5,"['Senior', 'Junior', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Senior', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Senior', 'Senior']","['09-1995', '01-1996', '08-1997', '04-1998', '10-1998', '01-2000', '01-2000', '01-2002', '01-2002', '10-2002', '12-2001', '05-2003', '08-2003', '12-2003', '09-2002', '05-2004', '07-2004', '12-2004', '01-2007', '01-2007', '10-2004', '01-2008', '01-2009', '12-2001', '01-2001', '01-2010']","['01-1996', '05-1996', '02-1998', '08-1998', '07-2000', '12-2000', '01-2001', '01-2002', '12-2002', '01-2003', '05-2003', '08-2003', '11-2003', '03-2004', '04-2004', '06-2004', '09-2004', '02-2005', '01-2007', '01-2007', '04-2007', '01-2008', '01-2009', '10-2011', '01-2019', '01-2019']"
295,Certificate,4,"['Specialist', 'Senior', 'Specialist']","['12-1966', '02-1973', '10-1994']","['09-1970', '09-1994', '01-2019']"
296,Masters,0,"['Senior', 'Worker', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist']","['01-2007', '01-2008', '01-2010', '01-2011', '01-2011', '01-2012', '01-2016']","['01-2009', '01-2010', '01-2011', '01-2011', '01-2012', '01-2016', '01-2019']"
297,Masters,0,"['Senior', 'Senior', 'Specialist', 'Specialist']","['03-2007', '10-2011', '07-2014', '11-2015']","['10-2011', '07-2014', '10-2015', '01-2019']"
298,Masters,0,"['Specialist', 'Senior', 'Specialist', 'Senior', 'Senior', 'Senior', 'Senior']","['02-1981', '08-1992', '11-1994', '03-1996', '03-2000', '03-2006', '09-2009']","['02-1981', '11-1994', '03-1996', '03-2000', '03-2006', '09-2009', '01-2019']"
299,Bachelors,0,"['Specialist', 'Senior', 'Specialist', 'Specialist', 'Senior', 'Senior']","['08-1999', '01-2007', '06-2008', '10-2009', '02-2011', '06-2014']","['08-2003', '12-2007', '04-2009', '02-2011', '06-2014', '05-2016']"
300,Masters,5,"['Senior', 'Specialist', 'Specialist', 'Senior']","['01-2010', '01-2012', '01-2013', '01-2016']","['01-2012', '01-2013', '01-2016', '01-2018']"
301,Bachelors,6,"['Specialist', 'Specialist', 'Junior', 'Specialist', 'Senior', 'Senior', 'Senior', 'Senior']","['01-1993', '01-2003', '01-2004', '01-2007', '01-2012', '09-2014', '12-2015', '05-2016']","['01-2002', '01-2004', '01-2007', '01-2012', '01-2014', '12-2015', '04-2016', '01-2019']"
302,Bachelors,5,"['Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist']","['11-2006', '12-2007', '04-2009', '07-2011', '06-2013', '07-2014', '07-2015', '06-2017']","['12-2007', '04-2009', '07-2011', '06-2013', '07-2014', '07-2015', '01-2019', '01-2019']"
303,Masters,5,"['Senior', 'Senior', 'Senior', 'Senior', 'Specialist']","['01-2002', '04-2005', '05-2008', '03-2011', '05-2017']","['04-2005', '04-2006', '03-2011', '05-2017', '05-2018']"
304,Bachelors,4,"['Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Senior', 'Specialist', 'Senior']","['01-1990', '01-1991', '01-1993', '01-1995', '01-2001', '01-2004', '01-2005', '01-2011', '01-2011', '01-2017']","['01-1991', '01-1993', '01-1995', '01-2001', '01-2004', '01-2005', '01-2011', '01-2011', '01-2017', '01-2018']"
305,Bachelors,7,"['Specialist', 'Specialist', 'Senior', 'Specialist', 'Specialist', 'Senior']","['09-2012', '10-2007', '10-2008', '07-2010', '05-2011', '10-2013']","['09-2012', '10-2008', '07-2010', '05-2011', '09-2012', '01-2019']"
306,None/Other,5,"['Specialist', 'Specialist', 'Senior', 'Specialist', 'Specialist']","['07-2006', '08-2013', '10-2013', '05-2016', '05-2017']","['01-2008', '09-2013', '04-2016', '05-2017', '05-2018']"
307,Certificate,6,"['Specialist', 'Specialist', 'Senior', 'Specialist']","['08-2003', '02-2005', '12-2014', '01-2012']","['02-2005', '12-2011', '04-2016', '09-2017']"
308,Doctorate,5,"['Senior', 'Worker', 'Senior', 'Senior', 'Specialist', 'Senior', 'Senior', 'Senior', 'Junior', 'Specialist']","['10-1994', '04-2004', '11-2004', '05-2005', '12-1995', '11-2007', '04-2012', '11-2015', '09-2010', '06-2017']","['05-2003', '11-2004', '05-2005', '11-2007', '03-2011', '01-2012', '11-2015', '06-2017', '01-2019', '01-2019']"
309,Masters,3,"['Senior', 'Junior']","['08-2000', '08-2015']","['07-2015', '01-2019']"
310,Masters,0,"['Specialist', 'Senior', 'Senior', 'Specialist', 'Junior']","['01-2009', '01-2010', '01-2014', '01-2016', '04-2017']","['01-2010', '01-2012', '01-2016', '01-2017', '01-2019']"
311,Certificate,7,"['Senior', 'Senior', 'Specialist', 'Specialist', 'Senior']","['01-1989', '01-1991', '01-1994', '01-1997', '07-2008']","['01-1991', '01-1994', '01-1997', '01-2003', '01-2019']"
312,Bachelors,5,"['Specialist', 'Specialist', 'Specialist']","['05-1997', '01-2005', '03-2015']","['09-2004', '02-2015', '01-2019']"
313,Certificate,0,"['Senior', 'Senior', 'Specialist', 'Senior', 'Senior', 'Senior', 'Senior', 'Senior', 'Senior', 'Junior', 'Junior', 'Worker', 'Junior']","['07-1990', '05-1994', '08-1994', '10-1997', '03-2000', '02-2007', '07-2007', '08-2008', '03-2014', '09-2015', '06-2016', '12-2016', '06-2017']","['05-1994', '07-1994', '10-1997', '12-1999', '12-2005', '05-2007', '11-2007', '03-2014', '09-2015', '06-2016', '12-2016', '06-2017', '06-2018']"
314,Certificate,6,"['Specialist', 'Specialist', 'Senior']","['02-2001', '03-2008', '04-2018']","['05-2002', '04-2018', '01-2019']"
315,Masters,20,"['Senior', 'Senior', 'Senior', 'Senior']","['01-1998', '01-2007', '01-1994', '01-2019']","['01-2002', '01-2014', '01-2018', '01-2019']"
316,Bachelors,5,"['Specialist', 'Specialist', 'Senior', 'Specialist', 'Senior']","['01-1999', '01-2000', '04-2006', '08-2011', '05-2016']","['01-2000', '01-2019', '01-2019', '01-2019', '01-2019']"
317,Masters,0,"['Worker', 'Specialist', 'Specialist', 'Specialist']","['11-2012', '05-2013', '04-2015', '10-2016']","['05-2013', '04-2015', '09-2016', '01-2019']"
318,Masters,0,"['Specialist', 'Specialist', 'Specialist', 'Specialist', 'Senior', 'Senior', 'Senior', 'Specialist', 'Senior', 'Senior']","['01-1979', '01-1993', '01-1996', '01-2001', '01-2005', '01-2003', '01-2007', '01-2012', '01-2015', '01-2017']","['01-1987', '01-1996', '01-2001', '01-2003', '01-2006', '01-2007', '01-2012', '01-2015', '01-2017', '01-2019']"
319,Masters,5,"['Senior', 'Specialist', 'Junior']","['05-1997', '05-2005', '09-2014']","['03-2005', '09-2014', '01-2019']"
320,None/Other,1,"['Specialist', 'Specialist', 'Specialist', 'Specialist', 'Junior', 'Senior']","['04-1998', '09-2001', '01-2003', '01-2005', '09-2017', '08-2018']","['08-2001', '12-2002', '12-2004', '09-2005', '06-2018', '01-2019']"
321,None/Other,0,"['Specialist', 'Junior', 'Junior', 'Senior', 'Senior', 'Senior', 'Senior', 'Specialist']","['02-1978', '09-1998', '10-2000', '01-2010', '01-2009', '10-2010', '09-2013', '02-2015']","['09-1998', '10-2000', '12-2008', '01-2010', '11-2010', '11-2013', '01-2015', '07-2018']"
322,Bachelors,8,"['Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist']","['10-1991', '10-1994', '11-1998', '02-2000', '06-2010', '05-2012', '10-2012']","['10-1994', '11-1998', '02-2000', '06-2010', '05-2012', '10-2012', '01-2019']"
323,Masters,0,"['Specialist', 'Specialist', 'Specialist', 'Specialist', 'Senior', 'Senior', 'Senior']","['07-1997', '04-1999', '04-2001', '01-2009', '11-2010', '03-2014', '04-2017']","['04-1999', '04-2001', '04-2003', '01-2010', '10-2013', '10-2018', '01-2019']"
324,Certificate,5,"['Specialist', 'Senior', 'Specialist', 'Specialist', 'Specialist', 'Senior', 'Senior']","['01-2010', '01-2010', '12-2008', '02-2015', '02-2012', '06-2016', '01-2018']","['01-2010', '01-2012', '04-2012', '08-2015', '12-2015', '12-2017', '01-2019']"
325,Doctorate,0,"['Specialist', 'Specialist', 'Junior', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Junior']","['01-2011', '08-2011', '05-2013', '08-2012', '05-2014', '08-2014', '03-2015', '05-2017']","['05-2011', '12-2011', '10-2013', '12-2013', '08-2014', '12-2014', '10-2016', '08-2017']"
326,Masters,12,"['Specialist', 'Worker', 'Senior', 'Specialist', 'Specialist', 'Senior']","['05-2012', '09-2013', '02-2014', '01-2015', '09-2015', '01-2018']","['08-2012', '12-2013', '08-2014', '06-2015', '12-2016', '01-2019']"
327,Bachelors,1,"['Worker', 'Senior', 'Senior', 'Specialist', 'Junior', 'Junior', 'Specialist', 'Specialist', 'Junior', 'Senior']","['01-2009', '08-2010', '08-2002', '08-2012', '05-2013', '08-2011', '07-2014', '08-2016', '01-2018', '05-2018']","['01-2011', '06-2011', '10-2012', '11-2012', '01-2014', '05-2014', '01-2018', '01-2019', '01-2019', '01-2019']"
328,Doctorate,15,"['Junior', 'Specialist', 'Specialist', 'Senior']","['01-2000', '01-2006', '01-2013', '01-2014']","['01-2006', '01-2013', '01-2014', '01-2019']"
329,Doctorate,4,"['Junior', 'Senior', 'Specialist', 'Senior', 'Senior']","['03-2002', '02-1997', '10-2011', '02-2013', '02-2018']","['03-2006', '10-2011', '02-2018', '01-2019', '01-2019']"
330,Bachelors,5,"['Specialist', 'Specialist', 'Senior', 'Specialist', 'Senior', 'Specialist', 'Specialist', 'Specialist', 'Senior']","['09-2004', '10-2005', '11-2009', '07-2008', '08-2014', '02-2016', '05-2016', '11-2016', '02-2017']","['09-2005', '12-2007', '05-2010', '08-2014', '05-2015', '04-2016', '09-2016', '01-2017', '01-2019']"
331,Masters,5,"['Specialist', 'Specialist', 'Junior', 'Junior', 'Specialist', 'Junior']","['06-2009', '05-2011', '05-2012', '03-2014', '01-2017', '01-2018']","['05-2011', '01-2012', '05-2016', '05-2016', '08-2017', '05-2018']"
332,Masters,5,"['Worker', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Senior', 'Specialist', 'Specialist']","['08-2001', '04-2003', '02-2006', '01-2006', '04-2009', '01-2013', '10-2014', '04-2018']","['04-2003', '02-2006', '04-2009', '01-2013', '01-2013', '10-2014', '04-2018', '01-2019']"
333,Certificate,0,"['Specialist', 'Specialist', 'Senior', 'Senior', 'Senior', 'Senior', 'Specialist', 'Specialist']","['01-1981', '01-1981', '01-1984', '01-1995', '01-1987', '01-1998', '01-2003', '01-2017']","['01-1982', '01-1984', '01-1987', '01-1997', '01-1998', '01-2003', '01-2016', '01-2019']"
334,Masters,41,"['Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Senior', 'Junior', 'Specialist']","['01-2004', '01-2005', '01-2006', '01-2009', '01-2012', '01-2014', '07-2015', '01-2016']","['01-2005', '01-2006', '01-2009', '01-2012', '01-2014', '01-2015', '05-2018', '01-2019']"
335,Associates,13,"['Specialist', 'Specialist', 'Specialist', 'Specialist', 'Senior', 'Specialist']","['01-2008', '05-2011', '12-2012', '01-2015', '06-2016', '05-2018']","['05-2011', '11-2012', '01-2015', '06-2016', '07-2018', '01-2019']"
336,Bachelors,12,"['Worker', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Senior', 'Senior']","['01-1985', '05-1987', '08-1987', '06-1990', '06-2001', '10-2004', '03-2006', '01-2009', '10-2012', '01-2014']","['01-1987', '08-1987', '06-1990', '06-2001', '10-2004', '03-2006', '01-2009', '01-2012', '05-2014', '01-2019']"
337,Masters,8,"['Specialist', 'Specialist', 'Specialist', 'Senior', 'Senior', 'Specialist', 'Senior', 'Specialist', 'Senior', 'Senior']","['01-1989', '01-1991', '01-1995', '01-1998', '01-2001', '01-2004', '01-2008', '01-2009', '01-2010', '01-2016']","['01-1991', '01-1993', '01-1998', '01-2001', '01-2004', '01-2008', '01-2010', '01-2010', '01-2016', '01-2019']"
338,Bachelors,1,"['Specialist', 'Specialist', 'Specialist', 'Senior']","['01-2004', '01-2010', '04-2012', '03-2016']","['01-2010', '01-2012', '03-2016', '01-2019']"
339,Bachelors,0,"['Junior', 'Junior', 'Specialist', 'Specialist', 'Junior', 'Senior', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Senior', 'Specialist', 'Senior']","['05-2001', '01-2006', '03-2004', '08-2003', '08-2011', '01-2015', '03-2014', '03-2013', '08-2015', '03-2016', '05-2016', '03-2018', '01-2018']","['07-2003', '01-2009', '01-2010', '01-2012', '01-2013', '01-2015', '01-2015', '10-2015', '10-2015', '05-2016', '02-2018', '06-2018', '01-2019']"
340,Bachelors,1,"['Specialist', 'Specialist', 'Specialist', 'Specialist', 'Senior', 'Senior']","['01-2010', '01-2011', '08-2012', '03-2016', '08-2016', '08-2016']","['01-2011', '01-2012', '08-2016', '09-2016', '02-2017', '03-2017']"
341,Masters,5,"['Senior', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist']","['08-2009', '08-2011', '05-2013', '07-2014', '09-2015', '03-2016', '01-2017', '07-2017', '03-2018']","['08-2011', '04-2012', '09-2013', '08-2015', '03-2016', '01-2017', '07-2017', '11-2017', '01-2019']"
